path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
notes\投资者情绪指数与市场波动学习笔记.md,投资者情绪指数与市场波动学习笔记.md,.md,3920,2026-05-23T12:47:44,notes,markdown,risk|sentiment,P1,new,skim_then_extract
notes\日内分时成交交易意愿与托底因子学习笔记.md,日内分时成交交易意愿与托底因子学习笔记.md,.md,7564,2026-05-22T22:31:11,notes,markdown,factor,P1,new,skim_then_extract
notes\日内极值基金研究因子正交化学习笔记.md,日内极值基金研究因子正交化学习笔记.md,.md,4960,2026-05-23T16:44:24,notes,markdown,factor|fund_etf,P1,new,skim_then_extract
notes\机构持仓价值组合与盈利加速学习笔记.md,机构持仓价值组合与盈利加速学习笔记.md,.md,9862,2026-05-23T11:31:57,notes,markdown,portfolio,P1,new,skim_then_extract
notes\深度学习高频因子9个改进尝试补充学习笔记.md,深度学习高频因子9个改进尝试补充学习笔记.md,.md,5595,2026-05-23T18:23:07,notes,markdown,factor|ml,P1,new,skim_then_extract
notes\短周期高频因子与调仓优化学习笔记.md,短周期高频因子与调仓优化学习笔记.md,.md,6482,2026-05-22T22:45:48,notes,markdown,factor|portfolio,P1,new,skim_then_extract
notes\研报阅读路线与Spearman因子有效性学习笔记.md,研报阅读路线与Spearman因子有效性学习笔记.md,.md,6630,2026-05-22T21:56:56,notes,markdown,factor,P1,new,skim_then_extract
notes\空头收益转化与因子敞口上限学习笔记.md,空头收益转化与因子敞口上限学习笔记.md,.md,5681,2026-05-22T22:55:39,notes,markdown,factor,P1,new,skim_then_extract
notes\结构化风险模型与周频组合优化学习笔记.md,结构化风险模型与周频组合优化学习笔记.md,.md,5233,2026-05-22T23:01:17,notes,markdown,portfolio|risk,P1,new,skim_then_extract
notes\自主多因子工厂长期运行计划.md,自主多因子工厂长期运行计划.md,.md,2939,2026-05-23T19:11:52,notes,markdown,factor,P1,new,skim_then_extract
notes\行业质量五因子与回归树择时学习笔记.md,行业质量五因子与回归树择时学习笔记.md,.md,4399,2026-05-23T17:37:09,notes,markdown,factor|timing,P1,new,skim_then_extract
